Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Aguascalientes (agsc), Aguascalientes
Lat 21.9157 N, Lon 102.319 W, Alt 1868 masl
Time UTC-6h
Meteorological data
 
TIMESTAMP,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,WDir_SD,Rain_Tot,Press_Avg,Rad_Avg
yyyy-mm-dd HH:MM:SS,°C,%,m/s,m/s,deg,deg,mm,hPa,W/m^2
2022-06-01 00:00:00,19.99,47.91,0.245,0.33,201.7,22.56,0.0,814.572,-0.824
2022-06-01 00:01:00,19.94,48.36,0.173,0.23,25.69,60.4,0.0,814.646,-0.641
2022-06-01 00:02:00,19.93,48.36,0.187,0.41,72.52,59.14,0.0,814.646,-0.549
2022-06-01 00:03:00,19.91,48.34,0.223,0.31,336.8,16.46,0.0,814.632,-0.778
2022-06-01 00:04:00,19.88,48.37,0.282,0.35,358.5,4.462,0.0,814.639,-0.824
2022-06-01 00:05:00,19.9,48.3,0.303,0.35,351.6,11.48,0.0,814.592,-0.824
2022-06-01 00:06:00,19.93,48.17,0.237,0.38,3.0,3.786,0.0,814.625,-0.824
2022-06-01 00:07:00,19.93,48.13,0.282,0.39,325.8,30.85,0.0,814.706,-0.824
2022-06-01 00:08:00,19.91,48.23,0.452,0.53,286.7,9.49,0.0,814.632,-0.961
2022-06-01 00:09:00,19.9,48.49,0.397,0.48,275.4,11.76,0.0,814.652,-0.915
2022-06-01 00:10:00,19.85,48.72,0.643,0.87,293.3,5.022,0.0,814.686,-0.915
2022-06-01 00:11:00,19.84,49.03,0.737,0.91,287.4,11.83,0.0,814.592,-1.511
2022-06-01 00:12:00,19.84,49.13,0.758,0.97,309.7,5.184,0.0,814.666,-1.511
2022-06-01 00:13:00,19.86,49.25,0.842,0.99,305.7,0.943,0.0,814.652,-1.373
2022-06-01 00:14:00,19.83,49.31,0.185,0.32,313.8,6.764,0.0,814.652,-0.778
2022-06-01 00:15:00,19.79,49.45,0.368,0.48,314.9,8.15,0.0,814.726,-0.32
2022-06-01 00:16:00,19.71,49.46,0.178,0.23,262.8,43.27,0.0,814.666,-0.32
2022-06-01 00:17:00,19.66,49.35,0.56,0.77,284.1,17.4,0.0,814.672,-0.595
2022-06-01 00:18:00,19.67,48.95,1.01,1.45,257.3,6.261,0.0,814.74,-1.19
2022-06-01 00:19:00,19.78,48.7,1.38,1.5,252.5,4.573,0.0,814.666,-2.197
2022-06-01 00:20:00,19.91,49.28,1.212,1.58,245.7,7.63,0.0,814.672,-1.922
2022-06-01 00:21:00,19.96,50.15,1.435,1.55,238.3,1.491,0.0,814.774,-1.922
2022-06-01 00:22:00,19.97,49.08,1.133,1.3,242.7,2.211,0.0,814.733,-2.426
2022-06-01 00:23:00,19.94,48.8,1.163,1.2,243.7,3.902,0.0,814.74,-2.289
2022-06-01 00:24:00,19.93,48.27,0.842,0.96,235.4,7.957,0.0,814.794,-2.014
2022-06-01 00:25:00,19.92,48.23,0.945,1.04,233.7,4.817,0.0,814.726,-1.877
2022-06-01 00:26:00,19.88,47.45,1.122,1.32,233.3,10.75,0.0,814.72,-1.922
2022-06-01 00:27:00,19.98,47.52,1.022,1.25,225.3,4.027,0.0,814.753,-2.243
2022-06-01 00:28:00,20.05,46.48,0.925,0.99,239.5,4.272,0.0,814.727,-1.922
2022-06-01 00:29:00,20.17,46.3,0.698,0.97,245.8,4.772,0.0,814.772,-1.831
2022-06-01 00:30:00,20.23,47.26,0.3,0.54,157.5,96.1,0.0,814.697,-1.144
2022-06-01 00:31:00,20.21,48.63,0.675,0.9,59.96,15.65,0.0,814.71,-0.366
2022-06-01 00:32:00,19.99,49.3,1.045,1.28,65.83,7.861,0.0,814.777,-0.687
2022-06-01 00:33:00,19.84,49.39,1.207,1.4,59.83,7.009,0.0,814.709,-1.19
2022-06-01 00:34:00,19.75,49.54,1.07,1.19,57.17,2.91,0.0,814.708,-1.099
2022-06-01 00:35:00,19.71,50.08,1.757,2.01,72.52,7.99,0.0,814.755,-1.419
2022-06-01 00:36:00,19.64,49.98,1.772,2.03,54.17,2.967,0.0,814.721,-1.877
2022-06-01 00:37:00,19.65,50.0,1.585,1.72,51.5,2.5,0.0,814.708,-2.151
2022-06-01 00:38:00,19.67,49.74,1.38,1.49,53.67,7.339,0.0,814.728,-2.06
2022-06-01 00:39:00,19.71,49.62,1.13,1.16,45.83,3.436,0.0,814.674,-1.922
2022-06-01 00:40:00,19.73,49.46,0.972,1.11,49.17,4.099,0.0,814.774,-1.922
2022-06-01 00:41:00,19.75,49.37,0.818,0.96,54.16,4.945,0.0,814.666,-1.419
2022-06-01 00:42:00,19.76,49.12,1.143,1.2,47.5,4.349,0.0,814.686,-1.511
2022-06-01 00:43:00,19.8,48.95,1.245,1.32,45.84,4.809,0.0,814.707,-1.831
2022-06-01 00:44:00,19.84,48.84,1.513,1.66,39.67,2.56,0.0,814.659,-1.831
2022-06-01 00:45:00,19.81,48.69,1.223,1.6,36.17,4.139,0.0,814.653,-1.922
2022-06-01 00:46:00,19.84,48.57,0.698,0.87,37.66,8.95,0.0,814.626,-1.465
2022-06-01 00:47:00,19.85,48.69,0.408,0.52,49.72,9.3,0.0,814.565,-0.961
2022-06-01 00:48:00,19.8,48.38,0.613,0.83,52.5,4.272,0.0,814.578,-0.824
2022-06-01 00:49:00,19.82,47.52,0.67,0.78,57.84,7.008,0.0,814.585,-1.282
2022-06-01 00:50:00,19.94,46.94,0.535,0.67,34.77,12.23,0.0,814.464,-1.327
2022-06-01 00:51:00,20.05,46.67,0.405,0.55,7.674,8.6,0.0,814.498,-0.915
2022-06-01 00:52:00,20.02,46.79,0.287,0.36,1.828,5.578,0.0,814.511,-0.824
2022-06-01 00:53:00,19.95,48.11,0.483,0.96,301.2,30.96,0.0,814.437,-0.687
2022-06-01 00:54:00,19.68,53.15,1.257,1.51,282.3,4.678,0.0,814.457,0.0
2022-06-01 00:55:00,19.2,55.44,1.537,1.74,283.8,6.146,0.0,814.464,0.0
2022-06-01 00:56:00,18.98,53.48,1.728,2.3,281.7,6.018,0.0,814.45,-0.595
2022-06-01 00:57:00,19.04,52.61,2.465,2.78,287.2,1.067,0.0,814.444,-1.373
2022-06-01 00:58:00,19.16,52.67,2.205,2.59,290.8,5.898,0.0,814.477,-1.373
2022-06-01 00:59:00,19.15,52.96,1.795,2.33,305.5,5.251,0.0,814.511,-1.053
2022-06-01 01:00:00,19.08,51.88,1.647,1.99,298.9,8.57,0.0,814.578,-0.824
2022-06-01 01:01:00,19.15,50.89,1.925,2.53,300.5,4.786,0.0,814.531,-0.824
2022-06-01 01:02:00,19.23,50.69,2.162,2.41,297.7,6.124,0.0,814.504,-0.824
2022-06-01 01:03:00,19.23,50.36,2.112,2.62,295.7,6.419,0.0,814.605,-0.824
2022-06-01 01:04:00,19.27,50.47,1.423,1.86,285.5,10.84,0.0,814.491,-0.732
2022-06-01 01:05:00,19.25,50.68,1.682,2.13,290.0,5.8,0.0,814.598,-0.641
2022-06-01 01:06:00,19.19,50.88,1.55,1.97,290.7,8.51,0.0,814.605,-0.366
2022-06-01 01:07:00,19.09,51.56,1.107,1.32,265.6,11.98,0.0,814.585,0.092
2022-06-01 01:08:00,18.96,52.35,0.952,1.14,279.3,20.18,0.0,814.666,0.275
2022-06-01 01:09:00,18.85,52.57,0.957,1.38,295.1,25.24,0.0,814.693,0.275
2022-06-01 01:10:00,18.78,52.53,1.72,1.91,307.2,6.387,0.0,814.619,-0.046
2022-06-01 01:11:00,18.74,52.14,1.96,2.49,310.1,8.23,0.0,814.72,-0.504
2022-06-01 01:12:00,18.76,51.71,1.957,2.15,300.8,5.549,0.0,814.679,-1.236
2022-06-01 01:13:00,18.75,51.37,2.243,2.5,297.7,6.209,0.0,814.632,-1.282
2022-06-01 01:14:00,18.81,51.23,1.878,2.11,295.0,10.27,0.0,814.619,-0.915
2022-06-01 01:15:00,18.79,51.34,1.902,2.26,290.5,4.82,0.0,814.565,-0.915
2022-06-01 01:16:00,18.79,51.23,1.125,1.86,270.5,17.28,0.0,814.625,-0.915
2022-06-01 01:17:00,18.79,51.52,0.947,1.97,278.8,26.32,0.0,814.679,-0.32
2022-06-01 01:18:00,18.81,51.0,1.323,1.75,293.9,14.55,0.0,814.646,-1.053
2022-06-01 01:19:00,18.85,50.75,1.3,1.85,294.2,5.08,0.0,814.672,-1.373
2022-06-01 01:20:00,18.88,50.82,0.862,1.33,254.6,15.82,0.0,814.686,-0.915
2022-06-01 01:21:00,18.94,51.58,1.122,1.36,234.8,11.44,0.0,814.612,-0.275
2022-06-01 01:22:00,18.87,51.76,0.605,0.69,251.7,8.79,0.0,814.666,-0.275
2022-06-01 01:23:00,18.82,51.68,0.567,0.62,282.3,15.74,0.0,814.706,-0.275
2022-06-01 01:24:00,18.76,51.33,0.577,0.67,308.2,7.602,0.0,814.598,-0.275
2022-06-01 01:25:00,18.77,51.3,0.428,0.47,312.2,10.7,0.0,814.646,-0.275
2022-06-01 01:26:00,18.72,51.43,0.203,0.41,342.3,46.8,0.0,814.7,-0.275
2022-06-01 01:27:00,18.68,51.89,0.332,0.65,114.0,9.17,0.0,814.672,-0.275
2022-06-01 01:28:00,18.61,52.56,0.727,0.8,125.2,6.005,0.0,814.672,-0.366
2022-06-01 01:29:00,18.54,52.78,0.315,0.63,169.2,27.34,0.0,814.713,-0.595
2022-06-01 01:30:00,18.53,52.25,0.157,0.34,306.7,82.8,0.0,814.605,-0.549
2022-06-01 01:31:00,18.5,51.66,0.235,0.31,284.9,14.52,0.0,814.652,-0.412
2022-06-01 01:32:00,18.49,52.29,0.483,0.58,252.5,9.84,0.0,814.646,-0.458
2022-06-01 01:33:00,18.49,52.84,0.465,0.55,249.0,6.296,0.0,814.625,-0.595
2022-06-01 01:34:00,18.46,52.72,0.468,0.56,308.0,28.49,0.0,814.672,-0.687
2022-06-01 01:35:00,18.44,52.57,0.947,1.22,345.0,4.617,0.0,814.612,-1.19
2022-06-01 01:36:00,18.5,52.62,1.105,1.32,346.0,4.617,0.0,814.612,-2.243
