"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"8250263","01001327121000951000000000U1","LADRILLERA IBARRA",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas","CALLE","ARCILLA","CALLE","CALLE DE LA QUEMA","CALLE","LADRILLERAS","CALLE","TABIQUES","0","SN",,,"0",,"FRACCIONAMIENTO","LOTES DE ARELLANO",,,,"20340","01","AGUASCALIENTES","001","Aguascalientes","0992","Lotes de Arellano","1763","009",,,,"Fijo","21.7980331","-102.26554142","2019-11"
"8515230","01001327121000181000000000U5","LADRILLERA JORGE",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas","CALLE","ADOBES","CALLE","CALLE DE LA QUEMA","CALLE","LADRILLERAS","CALLE","TABIQUES","3","B",,,"0",,"FRACCIONAMIENTO","LOTES DE ARELLANO",,,,"20340","01","AGUASCALIENTES","001","Aguascalientes","0992","Lotes de Arellano","1763","002",,,,"Fijo","21.79601721","-102.26607196","2019-11"
"6912514","01001327121000461000000000U1","LADRILLERA JOSE",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas","CALLE","ADOBES","CALLE","BARRANCO","CALLE","CUMBRES","CALLE","CUÑAS","0","SN",,,"0",,"FRACCIONAMIENTO","LOTES DE ARELLANO",,,,"20340","01","AGUASCALIENTES","001","Aguascalientes","0992","Lotes de Arellano","1763","005",,,,"Fijo","21.7964159","-102.27164166","2019-11"
"7066367","01001327121000591000000000U5","LADRILLERA JOSE CHAVEZ",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas","CALLE","CUÑAS","CALLE","CALLE DE LA QUEMA","OTRO(ESPECIFIQUE)","NINGUNO","CALLE","ADOBES","0","SN",,,"0",,"FRACCIONAMIENTO","LOTES DE ARELLANO",,,,"20340","01","AGUASCALIENTES","001","Aguascalientes","0992","Lotes de Arellano","1763","010",,,,"Fijo","21.79493959","-102.26463145","2019-11"
"7066425","01001327121000681000000000U4","LADRILLERA JOSE LUIS",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas","CALLE","CALLE DE LA QUEMA","CALLE","CUÑAS","CALLE","CALLE DEL HORNO","CALLE","LADRILLERAS","0","SN",,,"0",,"FRACCIONAMIENTO","LOTES DE ARELLANO",,,,"20340","01","AGUASCALIENTES","001","Aguascalientes","0992","Lotes de Arellano","1763","012",,,,"Fijo","21.79422192","-102.26499934","2019-11"
"7066426","01001327121000692000000000U1","LADRILLERA JUAN REFUGIO",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas","CALLE","CALLE DE LA QUEMA","CALLE","CUÑAS","CALLE","CALLE DEL HORNO","CALLE","LADRILLERAS","0","SN",,,"0",,"FRACCIONAMIENTO","LOTES DE ARELLANO",,,,"20340","01","AGUASCALIENTES","001","Aguascalientes","0992","Lotes de Arellano","1763","012",,,,"Fijo","21.79463947","-102.26498073","2019-11"
"9845749","01007327121000071000000000U5","LADRILLERA LA MEZQUITERA",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas","CALLE","JUAN PABLO II","CALLE","JUAN PABLO II","AVENIDA","UNIVERSIDAD","CALLE","JUAN PABLO II","0","SN",,,,,"COLONIA","INDEPENDENCIA",,,,"20410","01","AGUASCALIENTES","007","Rincón de Romos","0001","Rincón de Romos","0063","046","4651254102",,,"Fijo","22.22308939","-102.31423932","2024-11"
"11686314","01005327121000362000000000U2","LADRILLERA LOS VENADOS",,"327121","Fabricación de ladrillos no refractarios","6 a 10 personas","CALLE","NINGUNO","CALLE","PLAN DE AYUTLA","OTRO(ESPECIFIQUE)","NINGUNO","OTRO(ESPECIFIQUE)","NINGUNO","0","SN",,,,,"LOCALIDAD","LA ESCALERA",,,,"20922","01","AGUASCALIENTES","005","Jesús María","0001","Jesús María","0497","800",,,,"Fijo","21.97892699","-102.35047266","2024-11"
"8797194","01001327121000821000000000U6","LADRILLERA MANUEL URZUA",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas","CALLE","TABIQUES","CALLE","CUMBRES","CALLE","LADRILLERAS","CALLE","ARCILLA","0","SN",,,"0",,"FRACCIONAMIENTO","LOTES DE ARELLANO",,,,"20340","01","AGUASCALIENTES","001","Aguascalientes","0992","Lotes de Arellano","1763","008",,,,"Fijo","21.7971303","-102.26797908","2019-11"
"7066312","01001327121000511000000000U3","LADRILLERA MARQUEZ",,"327121","Fabricación de ladrillos no refractarios","0 a 5 personas","CALLE","CALLE DEL HORNO","OTRO(ESPECIFIQUE)","NINGUNO","CALLE","CALLE DE LA QUEMA","CALLE","CUÑAS","408",,,,"0",,"FRACCIONAMIENTO","LOTES DE ARELLANO",,,,"20340","01","AGUASCALIENTES","001","Aguascalientes","0992","Lotes de Arellano","1763","011","4491141318",,,"Fijo","21.79388011","-102.26320071","2019-11"
